#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321A36C31
#Date Time: 2024-12-14 01:28:08.904
#Sample rate: 5e+07Hz
#Samples: 16384

Time (s),clk,ser3,ser1,ser2,rclk,srclk
-8.024e-05,0,0,0,0,0,0
-8.022e-05,0,0,0,0,0,0
-8.02e-05,0,0,0,0,0,0
-8.017999999999999e-05,0,0,0,0,0,0
-8.016000000000001e-05,0,0,0,0,0,0
-8.014e-05,0,0,0,0,0,0
-8.012e-05,0,0,0,0,0,0
-8.01e-05,0,0,0,0,0,0
-8.008000000000001e-05,0,0,0,0,0,0
-8.006e-05,0,0,0,0,0,0
-8.004e-05,0,0,0,0,0,0
-8.002e-05,0,0,0,0,0,0
-8.000000000000001e-05,0,0,0,0,0,0
-7.998e-05,0,0,0,0,0,0
-7.996e-05,0,0,0,0,0,0
-7.994e-05,0,0,0,0,0,0
-7.991999999999999e-05,0,0,0,0,0,0
-7.99e-05,0,0,0,0,0,0
-7.988e-05,0,0,0,0,0,0
-7.986e-05,0,0,0,0,0,0
-7.983999999999999e-05,0,0,0,0,0,0
-7.982e-05,0,0,0,0,0,0
-7.98e-05,0,0,0,0,0,0
-7.978e-05,0,0,0,0,0,0
-7.976e-05,0,0,0,0,0,0
-7.974000000000001e-05,0,0,0,0,0,0
-7.972e-05,0,0,0,0,0,0
-7.97e-05,0,0,0,0,0,0
-7.968e-05,0,0,0,0,0,0
-7.966000000000001e-05,0,0,0,0,0,0
-7.964e-05,0,0,0,0,0,0
-7.962e-05,0,0,0,0,0,0
-7.96e-05,0,0,0,0,0,0
-7.957999999999999e-05,0,0,0,0,0,0
-7.956e-05,0,0,0,0,0,0
-7.954e-05,0,0,0,0,0,0
-7.952e-05,0,0,0,0,0,0
-7.949999999999999e-05,0,0,0,0,0,0
-7.948e-05,0,0,0,0,0,0
-7.946e-05,0,0,0,0,0,0
-7.944e-05,0,0,0,0,0,0
-7.942e-05,0,0,0,0,0,0
-7.940000000000001e-05,0,0,0,0,0,0
-7.938e-05,0,0,0,0,0,0
-7.936e-05,0,0,0,0,0,0
-7.934e-05,0,0,0,0,0,0
-7.932000000000001e-05,0,0,0,0,0,0
-7.93e-05,0,0,0,0,0,0
-7.928e-05,0,0,0,0,0,0
-7.926e-05,0,0,0,0,0,0
-7.923999999999999e-05,0,0,0,0,0,0
-7.922e-05,0,0,0,0,0,0
-7.92e-05,0,0,0,0,0,0
-7.918e-05,0,0,0,0,0,0
-7.915999999999999e-05,0,0,0,0,0,0
-7.914e-05,0,0,0,0,0,0
-7.912e-05,0,0,0,0,0,0
-7.91e-05,0,0,0,0,0,0
-7.908e-05,0,0,0,0,0,0
-7.906000000000001e-05,0,0,0,0,0,0
-7.904e-05,0,0,0,0,0,0
-7.902e-05,0,0,0,0,0,0
-7.9e-05,0,0,0,0,0,0
-7.898000000000001e-05,0,0,0,0,0,0
-7.896e-05,0,0,0,0,0,0
-7.894e-05,0,0,0,0,0,0
-7.892e-05,0,0,0,0,0,0
-7.889999999999999e-05,0,0,0,0,0,0
-7.888e-05,0,0,0,0,0,0
-7.886e-05,0,0,0,0,0,0
-7.884e-05,0,0,0,0,0,0
-7.881999999999999e-05,0,0,0,0,0,0
-7.88e-05,0,0,0,0,0,0
-7.878e-05,0,0,0,0,0,0
-7.876e-05,0,0,0,0,0,0
-7.873999999999999e-05,0,0,0,0,0,0
-7.872000000000001e-05,0,0,0,0,0,0
-7.87e-05,0,0,0,0,0,0
-7.868e-05,0,0,0,0,0,0
-7.866e-05,0,0,0,0,0,0
-7.864000000000001e-05,0,0,0,0,0,0
-7.862e-05,0,0,0,0,0,0
-7.86e-05,0,0,0,0,0,0
-7.858e-05,0,0,0,0,0,0
-7.855999999999999e-05,0,0,0,0,0,0
-7.854e-05,0,0,0,0,0,0
-7.852e-05,0,0,0,0,0,0
-7.85e-05,0,0,0,0,0,0
-7.847999999999999e-05,0,0,0,0,0,0
-7.846e-05,0,0,0,0,0,0
-7.844e-05,0,0,0,0,0,0
-7.842e-05,0,0,0,0,0,0
-7.839999999999999e-05,0,0,0,0,0,0
-7.838000000000001e-05,0,0,0,0,0,0
-7.836e-05,0,0,0,0,0,0
-7.834e-05,0,0,0,0,0,0
-7.832e-05,0,0,0,0,0,0
-7.830000000000001e-05,0,0,0,0,0,0
-7.828e-05,0,0,0,0,0,0
-7.826e-05,0,0,0,0,0,0
-7.824e-05,0,0,0,0,0,0
-7.822000000000001e-05,0,0,0,0,0,0
-7.82e-05,0,0,0,0,0,0
-7.818e-05,0,0,0,0,0,0
-7.816e-05,0,0,0,0,0,0
-7.813999999999999e-05,0,0,0,0,0,0
-7.812e-05,0,0,0,0,0,0
-7.81e-05,0,0,0,0,0,0
-7.808e-05,0,0,0,0,0,0
-7.805999999999999e-05,0,0,0,0,0,0
-7.804e-05,0,0,0,0,0,0
-7.802e-05,0,0,0,0,0,0
-7.8e-05,0,0,0,0,0,0
-7.798e-05,0,0,0,0,0,0
-7.796000000000001e-05,0,0,0,0,0,0
-7.794e-05,0,0,0,0,0,0
-7.792e-05,0,0,0,0,0,0
-7.79e-05,0,0,0,0,0,0
-7.788000000000001e-05,0,0,0,0,0,0
-7.786e-05,0,0,0,0,0,0
-7.784e-05,0,0,0,0,0,0
-7.782e-05,0,0,0,0,0,0
-7.779999999999999e-05,0,0,0,0,0,0
-7.778e-05,0,0,0,0,0,0
-7.776e-05,0,0,0,0,0,0
-7.774e-05,0,0,0,0,0,0
-7.771999999999999e-05,0,0,0,0,0,0
-7.77e-05,0,0,0,0,0,0
-7.768e-05,0,0,0,0,0,0
-7.766e-05,0,0,0,0,0,0
-7.764e-05,0,0,0,0,0,0
-7.762000000000001e-05,0,0,0,0,0,0
-7.76e-05,0,0,0,0,0,0
-7.758e-05,0,0,0,0,0,0
-7.756e-05,0,0,0,0,0,0
-7.754000000000001e-05,0,0,0,0,0,0
-7.752e-05,0,0,0,0,0,0
-7.75e-05,0,0,0,0,0,0
-7.748e-05,0,0,0,0,0,0
-7.745999999999999e-05,0,0,0,0,0,0
-7.744e-05,0,0,0,0,0,0
-7.742e-05,0,0,0,0,0,0
-7.74e-05,0,0,0,0,0,0
-7.737999999999999e-05,0,0,0,0,0,0
-7.736e-05,0,0,0,0,0,0
-7.734e-05,0,0,0,0,0,0
-7.732e-05,0,0,0,0,0,0
-7.73e-05,0,0,0,0,0,0
-7.728000000000001e-05,0,0,0,0,0,0
-7.726e-05,0,0,0,0,0,0
-7.724e-05,0,0,0,0,0,0
-7.722e-05,0,0,0,0,0,0
-7.720000000000001e-05,0,0,0,0,0,0
-7.718e-05,0,0,0,0,0,0
-7.716e-05,0,0,0,0,0,0
-7.714e-05,0,0,0,0,0,0
-7.711999999999999e-05,0,0,0,0,0,0
-7.71e-05,0,0,0,0,0,0
-7.708e-05,0,0,0,0,0,0
-7.706e-05,0,0,0,0,0,0
-7.703999999999999e-05,0,0,0,0,0,0
-7.702e-05,0,0,0,0,0,0
-7.7e-05,0,0,0,0,0,0
-7.698e-05,0,0,0,0,0,0
-7.695999999999999e-05,0,0,0,0,0,0
-7.694000000000001e-05,0,0,0,0,0,0
-7.692e-05,0,0,0,0,0,0
-7.69e-05,0,0,0,0,0,0
-7.688e-05,0,0,0,0,0,0
-7.686000000000001e-05,0,0,0,0,0,0
-7.684e-05,0,0,0,0,0,0
-7.682e-05,0,0,0,0,0,0
-7.68e-05,0,0,0,0,0,0
-7.677999999999999e-05,0,0,0,0,0,0
-7.676e-05,0,0,0,0,0,0
-7.674e-05,0,0,0,0,0,0
-7.672e-05,0,0,0,0,0,0
-7.669999999999999e-05,0,0,0,0,0,0
-7.668e-05,0,0,0,0,0,0
-7.666e-05,0,0,0,0,0,0
-7.664e-05,0,0,0,0,0,0
-7.661999999999999e-05,0,0,0,0,0,0
-7.660000000000001e-05,0,0,0,0,0,0
-7.658e-05,0,0,0,0,0,0
-7.656e-05,0,0,0,0,0,0
-7.654e-05,0,0,0,0,0,0
-7.652000000000001e-05,0,0,0,0,0,0
-7.65e-05,0,0,0,0,0,0
-7.648e-05,0,0,0,0,0,0
-7.646e-05,0,0,0,0,0,0
-7.644000000000001e-05,0,0,0,0,0,0
-7.642e-05,0,0,0,0,0,0
-7.64e-05,0,0,0,0,0,0
-7.638e-05,0,0,0,0,0,0
-7.635999999999999e-05,0,0,0,0,0,0
-7.634e-05,0,0,0,0,0,0
