#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321A36C31
#Date Time: 2024-12-14 10:09:01.613
#Sample rate: 2.5e+07Hz
#Samples: 16384

Time (s),ser3,ser1,ser2,rclk,srclk,clk
0.00043964,0,0,0,1,0,1
0.00043968,0,0,0,1,0,1
0.00043972,0,0,0,1,0,1
0.00043976,0,0,0,1,0,1
0.0004398,0,0,0,1,0,1
0.00043984,0,0,0,1,0,1
0.00043988,0,0,0,1,0,1
0.00043992,0,0,0,1,0,1
0.00043996,0,0,0,1,0,1
0.00044,0,0,0,1,0,1
0.00044004,0,0,0,1,0,1
0.00044008,0,0,0,1,0,1
0.00044012,0,0,0,1,0,1
0.00044016,0,0,0,1,0,1
0.0004402,0,0,0,1,0,1
0.00044024,0,0,0,1,0,1
0.00044028,0,0,0,1,0,0
0.00044032,0,0,0,1,0,0
0.00044036,0,0,0,1,0,0
0.0004404,0,0,0,1,0,0
0.00044044,0,0,0,1,0,0
0.00044048,0,0,0,1,0,0
0.00044052,0,0,0,1,0,0
0.00044056,0,0,0,1,0,0
0.0004406,0,0,0,1,0,0
0.00044064,0,0,0,1,0,0
0.00044068,0,0,0,1,0,0
0.00044072,0,0,0,1,0,0
0.00044076,0,0,0,1,0,0
0.0004408,0,0,0,1,0,0
0.00044084,0,0,0,1,0,0
0.00044088,0,0,0,1,0,0
0.00044092,0,0,0,1,0,0
0.00044096,0,0,0,1,0,0
0.000441,0,0,0,1,0,0
0.00044104,0,0,0,1,0,0
0.00044108,0,0,0,1,0,0
0.00044112,0,0,0,1,0,0
0.00044116,0,0,0,1,0,0
0.0004412,0,0,0,1,0,0
0.00044124,0,0,0,1,0,0
0.00044128,0,0,0,1,0,0
0.00044132,0,0,0,1,0,1
0.00044136,0,0,0,1,0,1
0.0004414,0,0,0,1,0,1
0.00044144,0,0,0,1,0,1
0.00044148,0,0,0,1,0,1
0.00044152,0,0,0,1,0,1
0.00044156,0,0,0,1,0,1
0.0004416,0,0,0,1,0,1
0.00044164,0,0,0,1,0,1
0.00044168,0,0,0,1,0,1
0.00044172,0,0,0,1,0,1
0.00044176,0,0,0,1,0,1
0.0004418,0,0,0,1,0,1
0.00044184,0,0,0,1,0,1
0.00044188,0,0,0,1,0,1
0.00044192,0,0,0,1,0,1
0.00044196,0,0,0,1,0,1
0.000442,0,0,0,1,0,1
0.00044204,0,0,0,1,0,1
0.00044208,0,0,0,1,0,1
0.00044212,0,0,0,1,0,1
0.00044216,0,0,0,1,0,1
0.0004422,0,0,0,1,0,1
0.00044224,0,0,0,1,0,1
0.00044228,0,0,0,1,0,1
0.00044232,0,0,0,1,0,1
0.00044236,0,0,0,1,0,0
0.0004424,0,0,0,1,0,0
0.00044244,0,0,0,1,0,0
0.00044248,0,0,0,1,0,0
0.00044252,0,0,0,1,0,0
0.00044256,0,0,0,1,0,0
0.0004426,0,0,0,1,0,0
0.00044264,0,0,0,1,0,0
0.00044268,0,0,0,1,0,0
0.00044272,0,0,0,1,0,0
0.00044276,0,0,0,1,0,0
0.0004428,0,0,0,1,0,0
0.00044284,0,0,0,1,0,0
0.00044288,0,0,0,1,0,0
0.00044292,0,0,0,1,0,0
0.00044296,0,0,0,1,0,0
0.000443,0,0,0,1,0,0
0.00044304,0,0,0,1,0,0
0.00044308,0,0,0,1,0,0
0.00044312,0,0,0,1,0,0
0.00044316,0,0,0,1,0,0
0.0004432,0,0,0,1,0,0
0.00044324,0,0,0,1,0,0
0.00044328,0,0,0,1,0,0
0.00044332,0,0,0,1,0,0
0.00044336,0,0,0,1,0,1
0.0004434,0,0,0,1,0,1
0.00044344,0,0,0,1,0,1
0.00044348,0,0,0,1,0,1
0.00044352,0,0,0,1,0,1
0.00044356,0,0,0,1,0,1
0.0004436,0,0,0,1,0,1
0.00044364,0,0,0,1,0,1
0.00044368,0,0,0,1,0,1
0.00044372,0,0,0,1,0,1
0.00044376,0,0,0,1,0,1
0.0004438,0,0,0,1,0,1
0.00044384,0,0,0,1,0,1
0.00044388,0,0,0,1,0,1
0.00044392,0,0,0,1,0,1
0.00044396,0,0,0,1,0,1
0.000444,0,0,0,1,0,1
0.00044404,0,0,0,1,0,1
0.00044408,0,0,0,1,0,1
0.00044412,0,0,0,1,0,1
0.00044416,0,0,0,1,0,1
0.0004442,0,0,0,1,0,1
0.00044424,0,0,0,1,0,1
0.00044428,0,0,0,1,0,1
0.00044432,0,0,0,1,0,1
0.00044436,0,0,0,1,0,1
0.0004444,0,0,0,1,0,0
0.00044444,0,0,0,1,0,0
0.00044448,0,0,0,1,0,0
0.00044452,0,0,0,1,0,0
0.00044456,0,0,0,1,0,0
0.0004446,0,0,0,1,0,0
0.00044464,0,0,0,1,0,0
0.00044468,0,0,0,1,0,0
0.00044472,0,0,0,1,0,0
0.00044476,0,0,0,1,0,0
0.0004448,0,0,0,1,0,0
0.00044484,0,0,0,1,0,0
0.00044488,0,0,0,1,0,0
0.00044492,0,0,0,1,0,0
0.00044496,0,0,0,1,0,0
0.000445,0,0,0,1,0,0
0.00044504,0,0,0,1,0,0
0.00044508,0,0,0,1,0,0
0.00044512,0,0,0,1,0,0
0.00044516,0,0,0,1,0,0
