#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321A36C31
#Date Time: 2025-01-07 22:35:35.285
#Sample rate: 1e+08Hz
#Samples: 16384

Time (s),ser3,ser1,ser2,rclk,clk,Bus
-7.884e-05,0,0,0,1,0,h00
-7.883e-05,0,0,0,1,0,h00
-7.881999999999999e-05,0,0,0,1,0,h00
-7.881e-05,0,0,0,1,0,h00
-7.88e-05,0,0,0,1,0,h00
-7.879e-05,0,0,0,1,0,h00
-7.878e-05,0,0,0,1,1,h00
-7.877000000000001e-05,0,0,0,1,1,h00
-7.876e-05,0,0,0,1,1,h00
-7.875e-05,0,0,0,1,1,h00
-7.873999999999999e-05,0,0,0,1,1,h00
-7.873e-05,0,0,0,1,1,h00
-7.872000000000001e-05,0,0,0,1,0,h00
-7.871e-05,0,0,0,1,0,h00
-7.87e-05,0,0,0,1,0,h00
-7.868999999999999e-05,0,0,0,1,0,h00
-7.868e-05,0,0,0,1,0,h00
-7.867e-05,0,0,0,1,0,h00
-7.866e-05,0,0,0,1,0,h00
-7.865e-05,0,0,0,1,1,h00
-7.864000000000001e-05,0,0,0,1,1,h00
-7.863e-05,0,0,0,1,1,h00
-7.862e-05,0,0,0,1,1,h00
-7.860999999999999e-05,0,0,0,1,1,h00
-7.86e-05,0,0,0,1,1,h00
-7.859e-05,0,0,0,1,0,h00
-7.858e-05,0,0,0,1,0,h00
-7.857e-05,0,0,0,1,0,h00
-7.855999999999999e-05,0,0,0,1,0,h00
-7.855e-05,0,0,0,1,0,h00
-7.854e-05,0,0,0,1,0,h00
-7.853e-05,0,0,0,1,1,h00
-7.852e-05,0,0,0,1,1,h00
-7.851000000000001e-05,0,0,0,1,1,h00
-7.85e-05,0,0,0,1,1,h00
-7.849e-05,0,0,0,1,1,h00
-7.847999999999999e-05,0,0,0,1,1,h00
-7.847e-05,0,0,0,1,1,h00
-7.846e-05,0,0,0,1,0,h00
-7.845e-05,0,0,0,1,0,h00
-7.844e-05,0,0,0,1,0,h00
-7.843000000000001e-05,0,0,0,1,0,h00
-7.842e-05,0,0,0,1,0,h00
-7.841e-05,0,0,0,1,0,h00
-7.839999999999999e-05,0,0,0,1,1,h00
-7.839e-05,0,0,0,1,1,h00
-7.838000000000001e-05,0,0,0,1,1,h00
-7.837e-05,0,0,0,1,1,h00
-7.836e-05,0,0,0,1,1,h00
-7.834999999999999e-05,0,0,0,1,1,h00
-7.834e-05,0,0,0,1,1,h00
-7.833e-05,0,0,0,1,0,h00
-7.832e-05,0,0,0,1,0,h00
-7.831e-05,0,0,0,1,0,h00
-7.830000000000001e-05,0,0,0,1,0,h00
-7.829e-05,0,0,0,1,0,h00
-7.828e-05,0,0,0,1,0,h00
-7.826999999999999e-05,0,0,0,1,1,h00
-7.826e-05,0,0,0,1,1,h00
-7.825e-05,0,0,0,1,1,h00
-7.824e-05,0,0,0,1,1,h00
-7.823e-05,0,0,0,1,1,h00
-7.822000000000001e-05,0,0,0,1,1,h00
-7.821e-05,0,0,0,1,0,h00
-7.82e-05,0,0,0,1,0,h00
-7.819e-05,0,0,0,1,0,h00
-7.818e-05,0,0,0,1,0,h00
-7.817000000000001e-05,0,0,0,1,0,h00
-7.816e-05,0,0,0,1,0,h00
-7.815e-05,0,0,0,1,0,h00
-7.813999999999999e-05,0,0,0,1,1,h00
-7.813e-05,0,0,0,1,1,h00
-7.812e-05,0,0,0,1,1,h00
-7.811e-05,0,0,0,1,1,h00
-7.81e-05,0,0,0,1,1,h00
-7.809000000000001e-05,0,0,0,1,1,h00
-7.808e-05,0,0,0,1,0,h00
-7.807e-05,0,0,0,1,0,h00
-7.805999999999999e-05,0,0,0,1,0,h00
-7.805e-05,0,0,0,1,0,h00
-7.804e-05,0,0,0,1,0,h00
-7.803e-05,0,0,0,1,0,h00
-7.802e-05,0,0,0,1,0,h00
-7.800999999999999e-05,0,0,0,1,1,h00
-7.8e-05,0,0,0,1,1,h00
-7.799e-05,0,0,0,1,1,h00
-7.798e-05,0,0,0,1,1,h00
-7.797e-05,0,0,0,1,1,h00
-7.796000000000001e-05,0,0,0,1,1,h00
-7.795e-05,0,0,0,1,0,h00
-7.794e-05,0,0,0,1,0,h00
-7.792999999999999e-05,0,0,0,1,0,h00
-7.792e-05,0,0,0,1,0,h00
-7.791e-05,0,0,0,1,0,h00
-7.79e-05,0,0,0,1,0,h00
-7.789e-05,0,0,0,1,1,h00
-7.788000000000001e-05,0,0,0,1,1,h00
-7.787e-05,0,0,0,1,1,h00
-7.786e-05,0,0,0,1,1,h00
-7.784999999999999e-05,0,0,0,1,1,h00
-7.784e-05,0,0,0,1,1,h00
-7.783000000000001e-05,0,0,0,1,1,h00
-7.782e-05,0,0,0,1,0,h00
-7.781e-05,0,0,0,1,0,h00
-7.779999999999999e-05,0,0,0,1,0,h00
-7.779e-05,0,0,0,1,0,h00
-7.778e-05,0,0,0,1,0,h00
-7.777e-05,0,0,0,1,0,h00
-7.776e-05,0,0,0,1,1,h00
-7.775000000000001e-05,0,0,0,1,1,h00
-7.774e-05,0,0,0,1,1,h00
-7.773e-05,0,0,0,1,1,h00
-7.771999999999999e-05,0,0,0,1,1,h00
-7.771e-05,0,0,0,1,1,h00
-7.77e-05,0,0,0,1,1,h00
-7.769e-05,0,0,0,1,0,h00
-7.768e-05,0,0,0,1,0,h00
-7.766999999999999e-05,0,0,0,1,0,h00
-7.766e-05,0,0,0,1,0,h00
-7.765e-05,0,0,0,1,0,h00
-7.764e-05,0,0,0,1,0,h00
-7.763e-05,0,0,0,1,1,h00
-7.762000000000001e-05,0,0,0,1,1,h00
-7.761e-05,0,0,0,1,1,h00
-7.76e-05,0,0,0,1,1,h00
-7.758999999999999e-05,0,0,0,1,1,h00
-7.758e-05,0,0,0,1,1,h00
-7.757e-05,0,0,0,1,0,h00
-7.756e-05,0,0,0,1,0,h00
-7.755e-05,0,0,0,1,0,h00
-7.754000000000001e-05,0,0,0,1,0,h00
-7.753e-05,0,0,0,1,0,h00
-7.752e-05,0,0,0,1,0,h00
-7.750999999999999e-05,0,0,0,1,0,h00
-7.75e-05,0,0,0,1,1,h00
-7.749000000000001e-05,0,0,0,1,1,h00
-7.748e-05,0,0,0,1,1,h00
-7.747e-05,0,0,0,1,1,h00
-7.745999999999999e-05,0,0,0,1,1,h00
-7.745e-05,0,0,0,1,1,h00
-7.744e-05,0,0,0,1,0,h00
-7.743e-05,0,0,0,1,0,h00
-7.742e-05,0,0,0,1,0,h00
-7.741000000000001e-05,0,0,0,1,0,h00
-7.74e-05,0,0,0,1,0,h00
-7.739e-05,0,0,0,1,0,h00
-7.737999999999999e-05,0,0,0,1,0,h00
-7.737e-05,0,0,0,1,1,h00
-7.736e-05,0,0,0,1,1,h00
-7.735e-05,0,0,0,1,1,h00
-7.734e-05,0,0,0,1,1,h00
-7.733000000000001e-05,0,0,0,1,1,h00
-7.732e-05,0,0,0,1,1,h00
-7.731e-05,0,0,0,1,0,h00
-7.73e-05,0,0,0,1,0,h00
-7.729e-05,0,0,0,1,0,h00
-7.728000000000001e-05,0,0,0,1,0,h00
-7.727e-05,0,0,0,1,0,h00
-7.726e-05,0,0,0,1,0,h00
-7.724999999999999e-05,0,0,0,1,1,h00
-7.724e-05,0,0,0,1,1,h00
-7.723e-05,0,0,0,1,1,h00
-7.722e-05,0,0,0,1,1,h00
-7.721e-05,0,0,0,1,1,h00
-7.720000000000001e-05,0,0,0,1,1,h00
-7.719e-05,0,0,0,1,1,h00
-7.718e-05,0,0,0,1,0,h00
-7.716999999999999e-05,0,0,0,1,0,h00
-7.716e-05,0,0,0,1,0,h00
-7.715000000000001e-05,0,0,0,1,0,h00
-7.714e-05,0,0,0,1,0,h00
-7.713e-05,0,0,0,1,0,h00
-7.711999999999999e-05,0,0,0,1,1,h00
-7.711e-05,0,0,0,1,1,h00
-7.71e-05,0,0,0,1,1,h00
-7.709e-05,0,0,0,1,1,h00
-7.708e-05,0,0,0,1,1,h00
-7.707000000000001e-05,0,0,0,1,1,h00
-7.706e-05,0,0,0,1,1,h00
-7.705e-05,0,0,0,1,0,h00
-7.703999999999999e-05,0,0,0,1,0,h00
-7.703e-05,0,0,0,1,0,h00
-7.702e-05,0,0,0,1,0,h00
-7.701e-05,0,0,0,1,0,h00
-7.7e-05,0,0,0,1,0,h00
-7.699000000000001e-05,0,0,0,1,1,h00
-7.698e-05,0,0,0,1,1,h00
-7.697e-05,0,0,0,1,1,h00
-7.695999999999999e-05,0,0,0,1,1,h00
-7.695e-05,0,0,0,1,1,h00
-7.694000000000001e-05,0,0,0,1,1,h00
-7.693e-05,0,0,0,1,0,h00
-7.692e-05,0,0,0,1,0,h00
-7.690999999999999e-05,0,0,0,1,0,h00
-7.69e-05,0,0,0,1,0,h00
-7.689e-05,0,0,0,1,0,h00
-7.688e-05,0,0,0,1,0,h00
-7.687e-05,0,0,0,1,0,h00
-7.686000000000001e-05,0,0,0,1,1,h00
-7.685e-05,0,0,0,1,1,h00
-7.684e-05,0,0,0,1,1,h00
-7.682999999999999e-05,0,0,0,1,1,h00
-7.682e-05,0,0,0,1,1,h00
-7.681e-05,0,0,0,1,1,h00
-7.68e-05,0,0,0,1,0,h00
-7.679e-05,0,0,0,1,0,h00
-7.677999999999999e-05,0,0,0,1,0,h00
-7.677e-05,0,0,0,1,0,h00
-7.676e-05,0,0,0,1,0,h00
-7.675e-05,0,0,0,1,0,h00
-7.674e-05,0,0,0,1,0,h00
-7.673000000000001e-05,0,0,0,1,1,h00
-7.672e-05,0,0,0,1,1,h00
-7.671e-05,0,0,0,1,1,h00
-7.669999999999999e-05,0,0,0,1,1,h00
-7.669e-05,0,0,0,1,1,h00
-7.668e-05,0,0,0,1,1,h00
-7.667e-05,0,0,0,1,0,h00
-7.666e-05,0,0,0,1,0,h00
-7.665000000000001e-05,0,0,0,1,0,h00
-7.664e-05,0,0,0,1,0,h00
-7.663e-05,0,0,0,1,0,h00
-7.661999999999999e-05,0,0,0,1,0,h00
-7.661e-05,0,0,0,1,1,h00
-7.660000000000001e-05,0,0,0,1,1,h00
-7.659e-05,0,0,0,1,1,h00
-7.658e-05,0,0,0,1,1,h00
-7.656999999999999e-05,0,0,0,1,1,h00
-7.656e-05,0,0,0,1,1,h00
-7.655e-05,0,0,0,1,1,h00
-7.654e-05,0,0,0,1,0,h00
-7.653e-05,0,0,0,1,0,h00
-7.652000000000001e-05,0,0,0,1,0,h00
-7.651e-05,0,0,0,1,0,h00
-7.65e-05,0,0,0,1,0,h00
-7.648999999999999e-05,0,0,0,1,0,h00
-7.648e-05,0,0,0,1,1,h00
-7.647e-05,0,0,0,1,1,h00
-7.646e-05,0,0,0,1,1,h00
-7.645e-05,0,0,0,1,1,h00
-7.644000000000001e-05,0,0,0,1,1,h00
-7.643e-05,0,0,0,1,1,h00
-7.642e-05,0,0,0,1,1,h00
-7.641e-05,0,0,0,1,0,h00
-7.64e-05,0,0,0,1,0,h00
-7.639000000000001e-05,0,0,0,1,0,h00
-7.638e-05,0,0,0,1,0,h00
-7.637e-05,0,0,0,1,0,h00
-7.635999999999999e-05,0,0,0,1,0,h00
-7.635e-05,0,0,0,1,1,h00
-7.634e-05,0,0,0,1,1,h00
-7.633e-05,0,0,0,1,1,h00
-7.632e-05,0,0,0,1,1,h00
-7.631000000000001e-05,0,0,0,1,1,h00
-7.63e-05,0,0,0,1,1,h00
-7.629e-05,0,0,0,1,0,h00
-7.627999999999999e-05,0,0,0,1,0,h00
-7.627e-05,0,0,0,1,0,h00
-7.626000000000001e-05,0,0,0,1,0,h00
-7.625e-05,0,0,0,1,0,h00
-7.624e-05,0,0,0,1,0,h00
-7.622999999999999e-05,0,0,0,1,0,h00
-7.622e-05,0,0,0,1,1,h00
-7.621e-05,0,0,0,1,1,h00
-7.62e-05,0,0,0,1,1,h00
-7.619e-05,0,0,0,1,1,h00
-7.618000000000001e-05,0,0,0,1,1,h00
-7.617e-05,0,0,0,1,1,h00
-7.616e-05,0,0,0,1,0,h00
-7.614999999999999e-05,0,0,0,1,0,h00
-7.614e-05,0,0,0,1,0,h00
-7.613e-05,0,0,0,1,0,h00
-7.612e-05,0,0,0,1,0,h00
-7.611e-05,0,0,0,1,0,h00
-7.610000000000001e-05,0,0,0,1,0,h00
-7.609e-05,0,0,0,1,1,h00
-7.608e-05,0,0,0,1,1,h00
-7.607e-05,0,0,0,1,1,h00
-7.606e-05,0,0,0,1,1,h00
-7.605000000000001e-05,0,0,0,1,1,h00
-7.604e-05,0,0,0,1,1,h00
-7.603e-05,0,0,0,1,0,h00
-7.601999999999999e-05,0,0,0,1,0,h00
-7.601e-05,0,0,0,1,0,h00
-7.6e-05,0,0,0,1,0,h00
-7.599e-05,0,0,0,1,0,h00
-7.598e-05,0,0,0,1,0,h00
-7.597000000000001e-05,0,0,0,1,1,h00
-7.596e-05,0,0,0,1,1,h00
-7.595e-05,0,0,0,1,1,h00
-7.593999999999999e-05,0,0,0,1,1,h00
-7.593e-05,0,0,0,1,1,h00
-7.592e-05,0,0,0,1,1,h00
-7.591e-05,0,0,0,1,1,h00
-7.59e-05,0,0,0,1,0,h00
-7.588999999999999e-05,0,0,0,1,0,h00
-7.588e-05,0,0,0,1,0,h00
-7.587e-05,0,0,0,1,0,h00
-7.586e-05,0,0,0,1,0,h00
-7.585e-05,0,0,0,1,0,h00
-7.584000000000001e-05,0,0,0,1,1,h00
-7.583e-05,0,0,0,1,1,h00
-7.582e-05,0,0,0,1,1,h00
-7.580999999999999e-05,0,0,0,1,1,h00
-7.58e-05,0,0,0,1,1,h00
-7.579e-05,0,0,0,1,1,h00
-7.578e-05,0,0,0,1,1,h00
-7.577e-05,0,0,0,1,0,h00
-7.576000000000001e-05,0,0,0,1,0,h00
-7.575e-05,0,0,0,1,0,h00
-7.574e-05,0,0,0,1,0,h00
-7.572999999999999e-05,0,0,0,1,0,h00
-7.572e-05,0,0,0,1,0,h00
-7.571000000000001e-05,0,0,0,1,1,h00
-7.57e-05,0,0,0,1,1,h00
-7.569e-05,0,0,0,1,1,h00
-7.567999999999999e-05,0,0,0,1,1,h00
-7.567e-05,0,0,0,1,1,h00
-7.566e-05,0,0,0,1,1,h00
-7.565e-05,0,0,0,1,0,h00
-7.564e-05,0,0,0,1,0,h00
-7.563000000000001e-05,0,0,0,1,0,h00
-7.562e-05,0,0,0,1,0,h00
-7.561e-05,0,0,0,1,0,h00
-7.559999999999999e-05,0,0,0,1,0,h00
-7.559e-05,0,0,0,1,0,h00
-7.558e-05,0,0,0,1,1,h00
-7.557e-05,0,0,0,1,1,h00
-7.556e-05,0,0,0,1,1,h00
-7.554999999999999e-05,0,0,0,1,1,h00
-7.554e-05,0,0,0,1,1,h00
-7.553e-05,0,0,0,1,1,h00
-7.552e-05,0,0,0,1,0,h00
-7.551e-05,0,0,0,1,0,h00
-7.550000000000001e-05,0,0,0,1,0,h00
-7.549e-05,0,0,0,1,0,h00
-7.548e-05,0,0,0,1,0,h00
-7.546999999999999e-05,0,0,0,1,0,h00
-7.546e-05,0,0,0,1,0,h00
-7.545e-05,0,0,0,1,1,h00
-7.544e-05,0,0,0,1,1,h00
-7.543e-05,0,0,0,1,1,h00
-7.542000000000001e-05,0,0,0,1,1,h00
-7.541e-05,0,0,0,1,1,h00
-7.54e-05,0,0,0,1,1,h00
-7.538999999999999e-05,0,0,0,1,0,h00
-7.538e-05,0,0,0,1,0,h00
-7.537000000000001e-05,0,0,0,1,0,h00
-7.536e-05,0,0,0,1,0,h00
-7.535e-05,0,0,0,1,0,h00
-7.533999999999999e-05,0,0,0,1,0,h00
-7.533e-05,0,0,0,1,1,h00
-7.532e-05,0,0,0,1,1,h00
-7.531e-05,0,0,0,1,1,h00
-7.53e-05,0,0,0,1,1,h00
-7.529000000000001e-05,0,0,0,1,1,h00
-7.528e-05,0,0,0,1,1,h00
-7.527e-05,0,0,0,1,1,h00
-7.525999999999999e-05,0,0,0,1,0,h00
-7.525e-05,0,0,0,1,0,h00
-7.524e-05,0,0,0,1,0,h00
-7.523e-05,0,0,0,1,0,h00
-7.522e-05,0,0,0,1,0,h00
-7.521000000000001e-05,0,0,0,1,0,h00
-7.52e-05,0,0,0,1,1,h00
-7.519e-05,0,0,0,1,1,h00
-7.518e-05,0,0,0,1,1,h00
-7.517e-05,0,0,0,1,1,h00
-7.516000000000001e-05,0,0,0,1,1,h00
-7.515e-05,0,0,0,1,1,h00
-7.514e-05,0,0,0,1,1,h00
-7.512999999999999e-05,0,0,0,1,0,h00
-7.512e-05,0,0,0,1,0,h00
-7.511e-05,0,0,0,1,0,h00
-7.51e-05,0,0,0,1,0,h00
-7.509e-05,0,0,0,1,0,h00
-7.508000000000001e-05,0,0,0,1,0,h00
-7.507e-05,0,0,0,1,1,h00
-7.506e-05,0,0,0,1,1,h00
-7.504999999999999e-05,0,0,0,1,1,h00
-7.504e-05,0,0,0,1,1,h00
-7.503000000000001e-05,0,0,0,1,1,h00
-7.502e-05,0,0,0,1,1,h00
-7.501e-05,0,0,0,1,0,h00
-7.499999999999999e-05,0,0,0,1,0,h00
-7.499e-05,0,0,0,1,0,h00
-7.498e-05,0,0,0,1,0,h00
